eurogrid_0250;;populacja_razem;populacja_lokale;populacja_k_razem;populacja_m_razem;populacja_00_04;populacja_05_09;populacja_10_14;populacja_15_19;populacja_20_24;populacja_25_29;populacja_30_34;populacja_35_39;populacja_40_44;populacja_45_49;populacja_50_54;populacja_55_59;populacja_60_64;populacja_65_69;populacja_70_74;populacja_75_99;msw_2012_lokale;msw_2013_lokale;msw_2014_lokale;msw_2015_lokale;msw_2016_lokale;msw_2012_popul_razem;msw_2013_popul_razem;msw_2014_popul_razem;msw_2015_popul_razem;msw_2016_popul_razem;budynki_all;budynki_mieszkalne;geometria92
1kmN3260E4784_11;1kmN3260E4784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((350391.97882022033 490593.7058860231, 350143.83572418947 490624.5637177285, 350174.76508028666 490872.3746094657, 350422.90806809725 490841.51638269983, 350391.97882022033 490593.7058860231)))
1kmN3260E4785_11;1kmN3260E4785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((351384.55085615267 490470.2757981727, 351136.4078984732 490501.13313450385, 351167.3368221709 490748.94244765025, 351415.4796719576 490718.08471735846, 351384.55085615267 490470.2757981727)))
1kmN3260E4786_11;1kmN3260E4786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((352377.12235726486 490346.8476875359, 352128.97953050304 490377.70453020465, 352159.9080231129 490625.5122691523, 352408.05074230663 490594.6550336303, 352377.12235726486 490346.8476875359)))
1kmN3260E4787_11;1kmN3260E4787;172;39;91;81;12;10;10;5;9;14;21;14;8;10;9;14;13;10;5;8;38;39;39;39;39;173;180;185;180;172;0;0;MULTIPOLYGON (((353369.6933532994 490223.4215473812, 353121.5506500177 490254.2778980667, 353152.47871285235 490502.08406720404, 353400.621308898 490471.2273247577, 353369.6933532994 490223.4215473812)))
1kmN3260E4788_11;1kmN3260E4788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((354362.2638739904 490099.9973709574, 354114.1212867546 490130.85323133785, 354145.0489211306 490378.65783505514, 354393.19140145346 490347.8015840091, 354362.2638739904 490099.9973709574)))
1kmN3260E4789_11;1kmN3260E4789;5;3;3;2;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;3;3;3;3;3;5;5;5;5;5;0;0;MULTIPOLYGON (((355354.8339490902 489976.5751515068, 355106.69147046626 490007.43052326795, 355137.6186776894 490255.23356595915, 355385.76104974037 490224.37780461926, 355354.8339490902 489976.5751515068)))
1kmN3260E4790_11;1kmN3260E4790;25;8;15;10;2;2;1;3;0;1;0;1;2;1;4;1;3;0;1;3;7;8;8;8;8;21;25;26;25;25;0;0;MULTIPOLYGON (((356347.40360833146 489853.15488226805, 356099.261230883 489884.00976711046, 356130.18801227596 490131.81125316396, 356378.3302834707 490100.9559798362, 356347.40360833146 489853.15488226805)))
1kmN3260E4791_11;1kmN3260E4791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((357339.9728814635 489729.73655649833, 357091.8305977493 489760.590956104, 357122.7569546278 490008.390889911, 357370.89913240843 489977.53610292263, 357339.9728814635 489729.73655649833)))
1kmN3260E4792_11;1kmN3260E4792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((358332.54179821495 489606.3201674428, 358084.3996008112 489637.1740835067, 358115.32553447434 489884.97246944904, 358363.46762628946 489854.1181671014, 358332.54179821495 489606.3201674428)))
1kmN3260E4793_11;1kmN3260E4793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((359325.11038834054 489482.9057083605, 359076.96826980653 489513.75914256275, 359107.89378157846 489761.55598502513, 359356.03579484776 489730.7021656418, 359325.11038834054 489482.9057083605)))
1kmN3260E4794_11;1kmN3260E4794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((360317.6786815822 489359.49317248445, 360069.53663447534 489390.34612652473, 360100.4617256691 489638.14142990764, 360348.60366783506 489607.2880917862, 360317.6786815822 489359.49317248445)))
1kmN3260E4795_11;1kmN3260E4795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MULTIPOLYGON (((361310.2467076702 489236.08255308215, 361062.1047245661 489266.9350286331, 361093.0293964947 489514.72879732214, 361341.171274981 489483.8759387741, 361310.2467076702 489236.08255308215)))
