miasto;Ulica;Nr domu;Kod poczt.;miasto;Publicznoœæ;Uczniowie;odzialy;pelnozatrudnieni;stos. Pracy;w etatach;suma etatów
Poznañ;Milczañska;1;61-131;ul. Katowicka;004;56;5.00;0;6;1.20;1.20
Poznañ;Lubowska;53;60-454;Poznañ;004;19;2.00;2;4;1.43;3.43
Poznañ;Hipolita Cegielskiego;1;61-862;Poznañ;004;35;4.00;5;0;0.00;5.00
Poznañ;Dmowskiego;50;60-204;Poznañ;004;16;1.00;1;0;0.00;1.00
Poznañ;Glebowa;36;61-312;Poznañ;004;13;1.00;2;0;0.00;2.00
Poznañ;£ukaszewicza;9/13;60-409;Poznañ;004;24;1.00;1;0;0.00;1.00
Poznañ;œw. Rocha;10;61-142;Poznañ;004;24;0.96;1;0;0.00;1.00
Poznañ;Harcerska;3;61-011;Poznañ;004;18;1.00;1;0;0.00;1.00
Poznañ;28 Czerwca 1956;290;61-469;Poznañ;004;24;1.00;2;0;0.00;2.00
Poznañ;¯onkilowa;34;60-175;Poznañ;004;13;1.00;1;0;0.00;1.00
Poznañ;Gajowa;8/12;60-815;Poznañ;004;18;1.00;2;0;0.00;2.00
Poznañ;Miñska;32;61-049;Poznañ;004;31;2.00;3;6;0.93;3.93
Poznañ;osiedle Armii Krajowej;97;61-381;Poznañ;004;123;5.00;8;4;1.71;9.71
Poznañ;GnieŸnieñska;2;61-015;Poznañ;004;21;2.00;3;0;0.00;3.00
Poznañ;Bosa;15;60-125;Poznañ;004;5;1.00;2;0;0.00;2.00
Poznañ;Marceliñska;96c/220;60-324;Poznañ;004;19;2.00;1;2;1.25;2.25
Poznañ;Poznañskie Sady;18;61-312;Poznañ;004;15;1.00;1;1;0.50;1.50
Poznañ;Soœnicka;10;61-058;Poznañ;004;54;3.00;3;0;0.00;3.00
Poznañ;Polanka;7F;61-131;Poznañ;004;55;4.00;7;0;0.00;7.00
Poznañ;Pucka;18;60-454;Poznañ;004;18;2.00;2;1;0.17;2.17
Poznañ;Strzeszyñska;67A;60-479;Poznañ;004;37;3.00;5;0;0.00;5.00
Poznañ;Koœcierzyñska;76/78;60-446;Poznañ;004;13;2.00;0;10;3.00;3.00
Poznañ;Lêborska;51;60-454;Poznañ;004;37;3.00;3;0;0.00;3.00
Poznañ;Prze³êcz;60;60-115;Poznañ;004;34;3.00;5;0;0.00;5.00
Poznañ;Grudzieniec;34;60-601;Poznañ;004;75;6.00;10;1;0.25;10.25
Poznañ;Darzyborska;1a;61-303;Poznañ;004;19;2.00;4;6;2.10;6.10
Poznañ;GÓRCZYÑSKA;46/1;60-132;POZNAÑ;004;17;1.00;4;0;0.00;4.00
Poznañ;Vetulaniego 11/Krasickiego 25;;61-409;Poznañ;004;42;3.00;5;0;0.00;5.00
Poznañ;Kosowska;42;60-464;Poznañ;004;149;9.00;12;0;0.00;12.00
Poznañ;Nad Segank¹;6;60-541;Poznañ;004;18;3.00;7;1;0.13;7.13
Poznañ;Powidzka;10;61-039;Poznañ;004;32;3.00;4;0;0.00;4.00
Poznañ;Roœlinna;36a;61-311;Poznañ;004;26;2.00;0;2;0.06;0.06
Poznañ;Grochowe £¹ki;2/A1;61-752;Poznañ;004;19;2.00;0;1;0.17;0.17
Poznañ;Saperska;51/1;61-493;Poznañ;004;36;3.00;5;1;0.28;5.28
Poznañ;Z³otowska;32;60-189;Poznañ;004;13;1.00;1;1;0.80;1.80
Poznañ;Bu³garska;19;60-320;Poznañ;004;71;5.00;4;3;2.39;6.39
Poznañ;Naramowicka;222;61-611;Poznañ;004;74;5.00;10;0;0.00;10.00
Poznañ;Podchor¹¿ych;22;60-143;Poznañ;004;58;2.00;4;1;0.02;4.02
Poznañ;Nad Segank¹;4;60-541;Poznañ;004;25;3.00;4;1;0.74;4.74
Poznañ;K³uszyñska;19;60-136;Poznañ;004;133;6.00;11;0;0.00;11.00
Poznañ;Nad Ró¿anym Potokiem;43;61-680;Poznañ;004;41;3.00;3;0;0.00;3.00
Poznañ;Marcinkowskiego;1;61-745;Poznañ;004;40;3.00;7;2;0.36;7.36
Poznañ;Pr¹dzyñskiego;55;61-527;Poznañ;004;15;1.00;1;0;0.00;1.00
Poznañ;Golêciñska;9;60-626;Poznañ;004;16;1.00;1;4;0.83;1.83
Poznañ;Dobrowita;22;61-062;Poznañ;004;87;5.00;7;2;0.88;7.88
Poznañ;Rynek Wildecki;4;61-547;Poznañ;004;44;2.00;5;0;0.00;5.00
Poznañ;Berwiñskigo;2/4;60-765;Poznañ;004;57;7.00;23;2;1.10;24.10
Poznañ;Na Uboczu;8;60-115;Poznañ;004;19;2.00;1;0;0.00;1.00
Poznañ;ROMKA STRZA£KOWSKIEGO;5/7;60-854;POZNAÑ;004;59;4.00;1;0;0.00;1.00
Poznañ;Czes³awa Mi³osza;31;60-461;Poznañ;004;3;1.00;2;1;0.50;2.50
Poznañ;Wolbromska;20;61-341;Poznañ;004;81;5.00;10;0;0.00;10.00
Poznañ;Mi³os³awska;4;61-029;Poznañ;004;45;2.00;0;4;1.52;1.52
Poznañ;Kolorowa;10;60-198;POZNAÑ;004;8;1.00;2;0;0.00;2.00
Poznañ;Bartoszycka;7;60-434;Poznañ;004;35;2.00;3;0;0.00;3.00
Poznañ;os. PrzyjaŸni;126;61-684;Poznañ;004;117;5.00;10;3;1.00;11.00
Poznañ;Stêszewska;6;60-111;Poznañ;004;17;2.00;2;1;0.50;2.50
Poznañ;RUBIE¯;46;61-612;POZNAÑ;004;54;3.00;6;1;0.50;6.50
Poznañ;Jasna Rola;58;61-609;Poznañ;004;45;4.00;6;0;0.00;6.00
Poznañ;os. Jana III Sobieskiego;52;60-688;Poznañ;004;19;2.00;1;1;0.50;1.50
Poznañ;KARPIA;17B/lok28;61-619;POZNAÑ;004;7;1.00;2;0;0.00;2.00
Poznañ;Brzeska;7;61-048;Poznan;004;33;1.00;1;3;1.75;2.75
Poznañ;Smoluchowskiego;5;60-179;Poznañ;004;14;3.00;2;0;0.00;2.00
Poznañ;Rycerska;8;60-346;Poznañ;004;28;2.00;2;2;1.30;3.30
Poznañ;Grunwaldzla;68;60-311;Poznañ;004;60;4.00;8;0;0.00;8.00
Poznañ;Grunwaldzka;182;60-166;Poznañ;004;47;3.00;9;0;0.00;9.00
Poznañ;Rejtana;6;60-653;Poznañ;004;27;2.00;3;0;0.00;3.00
Poznañ;GnieŸnieñska;32;61-021;Poznañ;004;49;4.00;5;0;0.00;5.00
Poznañ;Perzycka;11;60-182;Poznañ;004;44;3.00;8;2;0.58;8.58
Poznañ;Kartuska;17;60-471;Poznañ;004;75;4.00;5;0;0.00;5.00
Poznañ;Lubeckiego;30a;60-348;Poznañ;004;19;1.00;1;0;0.00;1.00
Poznañ;Z³ota;10;60-592;Poznañ;004;33;2.00;4;0;0.00;4.00
Poznañ;Umultowska;100A;61-614;Poznañ;004;25;3.00;5;0;0.00;5.00
Poznañ;Miastkowska;124;60-184;Poznañ;004;70;4.00;8;0;0.00;8.00
Poznañ;os.Piastowskie;42;61-152;Poznañ;004;40;5.00;5;0;0.00;5.00
Poznañ;os. B. Chrobrego;6/66;60-681;Poznañ;004;16;2.00;8;1;0.60;8.60
Poznañ;Wichrowe Wzgórze;130;61-699;Poznañ;004;14;2.00;2;0;0.00;2.00
Poznañ;WILCZAK15B;1;61-623;POZNAÑ;004;40;1.00;3;1;0.20;3.20
Poznañ;£ubinowa;7;60-175;Poznañ;004;17;2.00;3;0;0.00;3.00
Poznañ;Libelta;31;61-707;Poznañ;004;43;3.00;8;3;1.09;9.09
Poznañ;Mickiewicza;32/3;60-836;Poznañ;004;62;3.00;9;4;2.20;11.20
Poznañ;Grabowa;33;61-473;Poznañ;004;48;3.00;7;1;0.56;7.56
Poznañ;G³ogowska;92;60-262;Poznañ;001;397;16.00;24;24;12.66;36.66
