,populacja_razem,populacja_lokale,populacja_k_razem,populacja_m_razem,populacja_00_04,populacja_05_09,populacja_10_14,populacja_15_19,populacja_20_24,populacja_25_29,populacja_30_34,populacja_35_39,populacja_40_44,populacja_45_49,populacja_50_54,populacja_55_59,populacja_60_64,populacja_65_69,populacja_70_74,populacja_75_99,msw_2012_lokale,msw_2013_lokale,msw_2014_lokale,msw_2015_lokale,msw_2016_lokale,msw_2012_popul_razem,msw_2013_popul_razem,msw_2014_popul_razem,msw_2015_popul_razem,msw_2016_popul_razem,budynki_all,budynki_mieszkalne,geometry,war
16688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.94727896392954 50.11738805504253, 19.94381036218745 50.11769213277242, 19.94427778912276 50.11991614580742, 19.94774654878784 50.1196120517494, 19.94727896392954 50.11738805504253))",True
16689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.94727896392954 50.11738805504253, 19.94381036218745 50.11769213277242, 19.94427778912276 50.11991614580742, 19.94774654878784 50.1196120517494, 19.94727896392954 50.11738805504253))",True
16690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.94681143358275 50.11516405415579, 19.94334298974604 50.11546811555972, 19.94381036218745 50.11769213277242, 19.94727896392954 50.11738805504253, 19.94681143358275 50.11516405415579))",True
16691,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,1,3,3,3,3,3,4,1,"POLYGON ((19.94334298974604 50.11546811555972, 19.93987450546876 50.1157720716401, 19.94034171999767 50.11799610517342, 19.94381036218745 50.11769213277242, 19.94334298974604 50.11546811555972))",True
16692,83,27,45,38,3,2,7,5,5,11,5,4,12,8,1,6,7,2,1,4,23,24,26,27,27,78,80,86,85,83,15,12,"POLYGON ((19.94381036218745 50.11769213277242, 19.94034171999767 50.11799610517342, 19.94080898900277 50.12022013453111, 19.94427778912276 50.11991614580742, 19.94381036218745 50.11769213277242))",True
16693,83,27,45,38,3,2,7,5,5,11,5,4,12,8,1,6,7,2,1,4,23,24,26,27,27,78,80,86,85,83,15,12,"POLYGON ((19.94381036218745 50.11769213277242, 19.94034171999767 50.11799610517342, 19.94080898900277 50.12022013453111, 19.94427778912276 50.11991614580742, 19.94381036218745 50.11769213277242))",True
16694,83,27,45,38,3,2,7,5,5,11,5,4,12,8,1,6,7,2,1,4,23,24,26,27,27,78,80,86,85,83,15,12,"POLYGON ((19.94381036218745 50.11769213277242, 19.94034171999767 50.11799610517342, 19.94080898900277 50.12022013453111, 19.94427778912276 50.11991614580742, 19.94381036218745 50.11769213277242))",True
16695,83,27,45,38,3,2,7,5,5,11,5,4,12,8,1,6,7,2,1,4,23,24,26,27,27,78,80,86,85,83,15,12,"POLYGON ((19.94381036218745 50.11769213277242, 19.94034171999767 50.11799610517342, 19.94080898900277 50.12022013453111, 19.94427778912276 50.11991614580742, 19.94381036218745 50.11769213277242))",True
16696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.94634395773845 50.11294004908922, 19.94287567178956 50.11324409416889, 19.94334298974604 50.11546811555972, 19.94681143358275 50.11516405415579, 19.94634395773845 50.11294004908922))",True
16697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((19.94587653638756 50.11071603984209, 19.94240840830866 50.11102006859961, 19.94287567178956 50.11324409416889, 19.94634395773845 50.11294004908922, 19.94587653638756 50.11071603984209))",True
