,﻿Miejscowość,Ulica,Nr domu,"Uczniowie, wychow., słuchacze",etaty,simiecowki,etaty smieciowki,suma ataty,y,x
307,Kraków,os.Handlowe,3,125,12,5,1.49,13.5,52.408333,16.933889
308,Kraków,os.Hutnicze,14,110,14,5,1.6,15.6,52.408333,16.933889
309,Kraków,os.Kościuszkowskie,8,99,9,2,0.21,9.2,52.408333,16.933889
310,Kraków,os.Niepodległości,4,133,15,3,0.8,15.8,52.403643,16.920980
311,Kraków,os.Ogrodowe,3,100,8,4,1.78,9.8,52.403761,16.929627
312,Kraków,os.Oświecenia,31/1a,83,7,0,0.0,7.0,52.391123,16.957588
313,Kraków,os.Tysiąclecia,37,185,12,4,1.01,13.0,52.394270,16.975864
314,Kraków,os.Złotego Wieku,13,145,12,2,0.36,12.4,52.408333,16.933889
315,Kraków,oś. 2 Puku Lotniczego,1E/6a-6b,46,4,0,0.0,4.0,52.392238,16.956327
316,Kraków,oś. Piastów,48,173,17,4,1.48,18.5,52.408333,16.933889
317,Kraków,ul. Borkowska,30,58,6,6,0.78,6.8,52.408333,16.933889
318,Kraków,ul. Konecznego,2/6u,37,3,5,2.75,5.8,52.408333,16.933889
319,Kraków,ul.Kopernika,19,7,0,0,0.0,0.0,52.402632,16.932971
320,Kraków,ul.ks.Józefa Meiera,20G/1A,15,2,0,0.0,2.0,52.408333,16.933889
321,Kraków,ŁOKIETKA,135,71,5,0,0.0,5.0,52.408333,16.933889
322,Kraków,ŁOWIECKA,5,50,6,0,0.0,6.0,52.408333,16.933889
323,Kraków,ŁUŻYCKA,71A,85,9,0,0.0,9.0,52.408333,16.933889
